2023-11-11 13:23:43.227469: E tensorflow/compiler/xla/stream_executor/cuda/cuda_dnn.cc:9342] Unable to register cuDNN factory: Attempting to register factory for plugin cuDNN when one has already been registered
2023-11-11 13:23:43.227517: E tensorflow/compiler/xla/stream_executor/cuda/cuda_fft.cc:609] Unable to register cuFFT factory: Attempting to register factory for plugin cuFFT when one has already been registered
2023-11-11 13:23:43.227545: E tensorflow/compiler/xla/stream_executor/cuda/cuda_blas.cc:1518] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered
2023-11-11 13:23:44.418766: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Could not find TensorRT
Downloading builder script: 100% 3.82k/3.82k [00:00<00:00, 23.4MB/s]
Downloading metadata: 100% 1.90k/1.90k [00:00<00:00, 11.2MB/s]
Downloading readme: 100% 14.1k/14.1k [00:00<00:00, 41.9MB/s]
Downloading: 100% 1.93k/1.93k [00:00<00:00, 11.6MB/s]
Downloading: 100% 1.26M/1.26M [00:00<00:00, 2.90MB/s]
Downloading: 100% 65.9M/65.9M [00:02<00:00, 30.7MB/s]
Downloading: 100% 1.26M/1.26M [00:00<00:00, 3.00MB/s]
Downloading (…)lve/main/config.json: 100% 665/665 [00:00<00:00, 2.69MB/s]
Downloading pytorch_model.bin: 100% 54.2M/54.2M [00:00<00:00, 193MB/s]
Some weights of ElectraForSequenceClassification were not initialized from the model checkpoint at google/electra-small-discriminator and are newly initialized: ['classifier.dense.weight', 'classifier.out_proj.bias', 'classifier.dense.bias', 'classifier.out_proj.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
Downloading (…)okenizer_config.json: 100% 29.0/29.0 [00:00<00:00, 141kB/s]
Downloading (…)solve/main/vocab.txt: 100% 232k/232k [00:00<00:00, 1.38MB/s]
Downloading (…)/main/tokenizer.json: 100% 466k/466k [00:00<00:00, 1.86MB/s]
Preprocessing data... (this takes a little bit, should only happen once per dataset)
Filter: 100% 10000/10000 [00:00<00:00, 117963.66 examples/s]
Filter: 100% 550152/550152 [00:01<00:00, 280684.57 examples/s]
Filter: 100% 10000/10000 [00:00<00:00, 264955.84 examples/s]
Map (num_proc=2): 100% 549367/549367 [00:45<00:00, 12106.80 examples/s]
  0% 0/206013 [00:00<?, ?it/s]You're using a ElectraTokenizerFast tokenizer. Please note that with a fast tokenizer, using the `__call__` method is faster than using a method to encode the text followed by a call to the `pad` method to get a padded encoding.
{'loss': 0.8944, 'learning_rate': 4.987864843480751e-05, 'epoch': 0.01}
{'loss': 0.7209, 'learning_rate': 4.975729686961503e-05, 'epoch': 0.01}
{'loss': 0.6761, 'learning_rate': 4.963594530442254e-05, 'epoch': 0.02}
{'loss': 0.6444, 'learning_rate': 4.951459373923005e-05, 'epoch': 0.03}
{'loss': 0.6329, 'learning_rate': 4.9393242174037564e-05, 'epoch': 0.04}
{'loss': 0.5977, 'learning_rate': 4.927189060884507e-05, 'epoch': 0.04}
{'loss': 0.605, 'learning_rate': 4.9150539043652585e-05, 'epoch': 0.05}
{'loss': 0.5859, 'learning_rate': 4.90291874784601e-05, 'epoch': 0.06}
{'loss': 0.6101, 'learning_rate': 4.890783591326761e-05, 'epoch': 0.07}
{'loss': 0.5736, 'learning_rate': 4.8786484348075126e-05, 'epoch': 0.07}
{'loss': 0.571, 'learning_rate': 4.866513278288264e-05, 'epoch': 0.08}
{'loss': 0.5546, 'learning_rate': 4.8543781217690146e-05, 'epoch': 0.09}
{'loss': 0.5698, 'learning_rate': 4.842242965249766e-05, 'epoch': 0.09}
{'loss': 0.5538, 'learning_rate': 4.8301078087305174e-05, 'epoch': 0.1}
{'loss': 0.5418, 'learning_rate': 4.817972652211268e-05, 'epoch': 0.11}
{'loss': 0.5471, 'learning_rate': 4.80583749569202e-05, 'epoch': 0.12}
{'loss': 0.5547, 'learning_rate': 4.793702339172771e-05, 'epoch': 0.12}
{'loss': 0.5277, 'learning_rate': 4.781567182653522e-05, 'epoch': 0.13}
{'loss': 0.5611, 'learning_rate': 4.7694320261342736e-05, 'epoch': 0.14}
{'loss': 0.5487, 'learning_rate': 4.757296869615024e-05, 'epoch': 0.15}
{'loss': 0.5255, 'learning_rate': 4.7451617130957756e-05, 'epoch': 0.15}
{'loss': 0.5465, 'learning_rate': 4.733026556576527e-05, 'epoch': 0.16}
{'loss': 0.543, 'learning_rate': 4.720891400057278e-05, 'epoch': 0.17}
{'loss': 0.5283, 'learning_rate': 4.70875624353803e-05, 'epoch': 0.17}
{'loss': 0.5276, 'learning_rate': 4.6966210870187804e-05, 'epoch': 0.18}
{'loss': 0.5323, 'learning_rate': 4.684485930499532e-05, 'epoch': 0.19}
{'loss': 0.5139, 'learning_rate': 4.672350773980283e-05, 'epoch': 0.2}
{'loss': 0.5086, 'learning_rate': 4.660215617461034e-05, 'epoch': 0.2}
{'loss': 0.515, 'learning_rate': 4.648080460941785e-05, 'epoch': 0.21}
{'loss': 0.5203, 'learning_rate': 4.6359453044225366e-05, 'epoch': 0.22}
{'loss': 0.4999, 'learning_rate': 4.623810147903288e-05, 'epoch': 0.23}
{'loss': 0.5192, 'learning_rate': 4.611674991384039e-05, 'epoch': 0.23}
{'loss': 0.4932, 'learning_rate': 4.599539834864791e-05, 'epoch': 0.24}
{'loss': 0.5208, 'learning_rate': 4.5874046783455414e-05, 'epoch': 0.25}
{'loss': 0.5233, 'learning_rate': 4.575269521826293e-05, 'epoch': 0.25}
{'loss': 0.5204, 'learning_rate': 4.563134365307044e-05, 'epoch': 0.26}
{'loss': 0.4894, 'learning_rate': 4.550999208787795e-05, 'epoch': 0.27}
{'loss': 0.5049, 'learning_rate': 4.538864052268547e-05, 'epoch': 0.28}
{'loss': 0.5015, 'learning_rate': 4.5267288957492976e-05, 'epoch': 0.28}
{'loss': 0.5103, 'learning_rate': 4.514593739230048e-05, 'epoch': 0.29}
{'loss': 0.493, 'learning_rate': 4.5024585827108e-05, 'epoch': 0.3}
{'loss': 0.4877, 'learning_rate': 4.490323426191551e-05, 'epoch': 0.31}
{'loss': 0.4976, 'learning_rate': 4.4781882696723024e-05, 'epoch': 0.31}
{'loss': 0.494, 'learning_rate': 4.466053113153054e-05, 'epoch': 0.32}
{'loss': 0.5024, 'learning_rate': 4.4539179566338044e-05, 'epoch': 0.33}
{'loss': 0.4815, 'learning_rate': 4.4417828001145565e-05, 'epoch': 0.33}
{'loss': 0.5088, 'learning_rate': 4.429647643595307e-05, 'epoch': 0.34}
{'loss': 0.5018, 'learning_rate': 4.4175124870760585e-05, 'epoch': 0.35}
{'loss': 0.4832, 'learning_rate': 4.40537733055681e-05, 'epoch': 0.36}
{'loss': 0.5095, 'learning_rate': 4.393242174037561e-05, 'epoch': 0.36}
{'loss': 0.4943, 'learning_rate': 4.381107017518312e-05, 'epoch': 0.37}
{'loss': 0.488, 'learning_rate': 4.368971860999063e-05, 'epoch': 0.38}
{'loss': 0.4952, 'learning_rate': 4.356836704479815e-05, 'epoch': 0.39}
{'loss': 0.4646, 'learning_rate': 4.3447015479605654e-05, 'epoch': 0.39}
{'loss': 0.4952, 'learning_rate': 4.3325663914413174e-05, 'epoch': 0.4}
{'loss': 0.4703, 'learning_rate': 4.320431234922068e-05, 'epoch': 0.41}
{'loss': 0.4596, 'learning_rate': 4.3082960784028195e-05, 'epoch': 0.42}
{'loss': 0.4824, 'learning_rate': 4.296160921883571e-05, 'epoch': 0.42}
{'loss': 0.4955, 'learning_rate': 4.2840257653643216e-05, 'epoch': 0.43}
{'loss': 0.4968, 'learning_rate': 4.2718906088450736e-05, 'epoch': 0.44}
{'loss': 0.4858, 'learning_rate': 4.259755452325824e-05, 'epoch': 0.44}
{'loss': 0.4642, 'learning_rate': 4.247620295806575e-05, 'epoch': 0.45}
{'loss': 0.4626, 'learning_rate': 4.235485139287327e-05, 'epoch': 0.46}
